"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"India","2001","Total","Both Sexes","Abohar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","124339","1"
"India","2001","Total","Both Sexes","Achalpur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","107316","1"
"India","2001","Total","Both Sexes","Adilabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","109529","1"
"India","2001","Total","Both Sexes","Adilabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","129403","1"
"India","2001","Total","Both Sexes","Adityapur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","119233","1"
"India","2001","Total","Both Sexes","Adoni","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","157305","1"
"India","2001","Total","Both Sexes","Adoni","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","162458","1"
"India","2001","Total","Both Sexes","Agartala","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","189998","1"
"India","2001","Total","Both Sexes","Agra","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","1275134","1"
"India","2001","Total","Both Sexes","Agra","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","1331339","1"
"India","2001","Total","Both Sexes","Ahmedabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","3520085","1"
"India","2001","Total","Both Sexes","Ahmedabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","4525013","1"
"India","2001","Total","Both Sexes","Ahmednagar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","307615","1"
"India","2001","Total","Both Sexes","Ahmednagar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","347549","1"
"India","2001","Total","Both Sexes","Aizawl","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","228280","1"
"India","2001","Total","Both Sexes","Ajmer","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","485575","1"
"India","2001","Total","Both Sexes","Ajmer","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","490520","1"
"India","2001","Total","Both Sexes","Akola","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","400520","1"
"India","2001","Total","Both Sexes","Alandur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","146287","1"
"India","2001","Total","Both Sexes","Alappuzha","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","177029","1"
"India","2001","Total","Both Sexes","Alappuzha","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","282675","1"
"India","2001","Total","Both Sexes","Aligarh","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","669087","1"
"India","2001","Total","Both Sexes","Alipurduar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","114035","1"
"India","2001","Total","Both Sexes","Allahabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","975393","1"
"India","2001","Total","Both Sexes","Allahabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","1042229","1"
"India","2001","Total","Both Sexes","Alwar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","260593","1"
"India","2001","Total","Both Sexes","Alwar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","266203","1"
"India","2001","Total","Both Sexes","Ambala","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","139279","1"
"India","2001","Total","Both Sexes","Ambala","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","168316","1"
"India","2001","Total","Both Sexes","Ambala Sadar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","106568","1"
"India","2001","Total","Both Sexes","Ambarnath","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","203804","1"
"India","2001","Total","Both Sexes","Ambattur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","310967","1"
"India","2001","Total","Both Sexes","Amravati","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","549510","1"
"India","2001","Total","Both Sexes","Amritsar","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","966862","1"
"India","2001","Total","Both Sexes","Amritsar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","1003917","1"
"India","2001","Total","Both Sexes","Amroha","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","165129","1"
"India","2001","Total","Both Sexes","Anand","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","130685","1"
"India","2001","Total","Both Sexes","Anand","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","218486","1"
"India","2001","Total","Both Sexes","Anantapur","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","218808","1"
"India","2001","Total","Both Sexes","Anantapur","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","243143","1"
"India","2001","Total","Both Sexes","Anklesvar","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","112643","1"
"India","2001","Total","Both Sexes","Arcot","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","126671","1"
"India","2001","Total","Both Sexes","Arrah","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","203380","1"
"India","2001","Total","Both Sexes","Asansol","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","475439","1"
"India","2001","Total","Both Sexes","Asansol","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","1067369","1"
"India","2001","Total","Both Sexes","Ashoknagar Kalyangarh","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","111607","1"
"India","2001","Total","Both Sexes","Aurangabad","City proper","Census - de facto - complete tabulation","Final figure, complete","2007","873311","1"
"India","2001","Total","Both Sexes","Aurangabad","Urban agglomeration","Census - de facto - complete tabulation","Final figure, complete","2007","892483","1"
