Index,"Major area, region, country or area",Note,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
1,WORLD,,900,1.33,1.29,1.08,0.57,0.60,0.84,0.92,0.84,0.81,0.83,1.04,1.00,0.90,0.79,0.70,0.62,0.54,0.49,0.49,0.48
2,More developed regions,a,901,1.12,1.07,0.96,0.84,0.60,0.41,0.33,0.28,0.26,0.24,0.42,0.35,0.30,0.27,0.27,0.26,0.26,0.25,0.23,0.22
3,Less developed regions,b,902,2.16,2.13,1.82,1.06,1.28,1.75,1.83,1.58,1.41,1.32,1.47,1.38,1.23,1.05,0.90,0.77,0.67,0.60,0.58,0.57
4,Least developed countries,c,941,2.46,2.50,2.71,3.02,2.44,3.27,2.17,2.09,1.63,1.31,1.63,1.72,1.69,1.60,1.49,1.38,1.27,1.17,1.12,1.07
5,"Less developed regions, excluding least developed countries",d,934,2.14,2.12,1.79,0.94,1.21,1.66,1.83,1.57,1.44,1.39,1.53,1.41,1.25,1.06,0.90,0.77,0.66,0.58,0.56,0.54
6,"Less developed regions, excluding China",,948,1.85,1.75,1.64,1.59,1.59,1.52,1.35,1.19,0.87,0.80,0.86,0.88,0.85,0.82,0.80,0.78,0.74,0.71,0.69,0.67
7,High-income countries,e,1503,1.03,0.97,0.89,0.83,0.60,0.43,0.36,0.34,0.29,0.25,0.41,0.33,0.27,0.25,0.23,0.23,0.22,0.21,0.20,0.19
8,Middle-income countries,,1505,2.19,2.11,1.75,0.86,1.13,1.57,1.74,1.51,1.42,1.38,1.53,1.43,1.28,1.10,0.93,0.80,0.68,0.60,0.58,0.56
9,Upper-middle-income countries,,1502,2.63,2.60,2.08,0.59,0.92,1.75,2.10,1.73,1.81,1.78,1.98,1.76,1.52,1.21,0.94,0.71,0.52,0.38,0.35,0.33
10,Lower-middle-income countries,,1501,1.56,1.41,1.27,1.23,1.45,1.38,1.29,1.25,0.94,0.93,1.03,1.09,1.10,1.13,1.13,1.11,1.07,1.02,0.97,0.92
11,Low-income countries,,1500,1.95,2.32,2.36,2.93,2.06,2.68,1.74,1.61,1.31,1.13,1.42,1.53,1.55,1.50,1.43,1.35,1.26,1.17,1.13,1.09
12,Sub-Saharan Africa,f,947,3.20,3.28,2.07,2.05,2.17,2.01,1.89,1.91,1.40,1.14,1.36,1.41,1.37,1.29,1.21,1.12,1.02,0.94,0.91,0.88
13,AFRICA,,903,2.83,2.85,2.04,1.82,1.78,1.60,1.58,1.57,1.12,0.84,1.02,1.08,1.08,1.06,1.02,0.97,0.91,0.86,0.84,0.82
14,Eastern Africa,,910,3.07,3.01,3.25,3.34,3.29,3.25,2.09,2.11,1.65,1.10,1.20,1.50,1.68,1.69,1.67,1.62,1.54,1.44,1.38,1.32
15,Burundi,,108,1.82,1.82,1.99,4.31,4.29,4.16,3.70,3.66,2.79,2.68,2.57,2.53,2.50,2.45,2.40,2.32,2.22,2.13,2.07,2.01
16,Comoros,,174,6.53,6.32,6.04,2.66,1.82,1.78,1.85,1.80,0.31,-0.16,-0.15,0.03,0.27,0.50,0.72,0.93,1.00,0.97,0.95,0.92
17,Djibouti,,262,2.46,2.23,2.18,1.92,1.67,1.42,0.77,0.27,0.09,0.06,0.06,0.06,0.09,0.13,0.16,0.19,0.22,0.22,0.21,0.20
18,Eritrea,,232,3.20,3.15,3.10,2.02,1.32,1.31,1.17,0.74,0.91,1.20,1.46,1.71,1.91,1.98,1.92,1.85,1.78,1.71,1.63,1.55
19,Ethiopia,,231,3.37,3.34,3.30,2.48,1.93,1.91,1.91,1.94,1.83,1.28,1.26,1.96,2.34,2.25,2.14,2.01,1.87,1.71,1.63,1.56
20,Kenya,,404,2.77,2.74,3.12,3.59,4.53,3.76,0.63,0.82,1.73,1.71,1.72,1.68,1.67,1.67,1.66,1.63,1.56,1.48,1.41,1.35
21,Madagascar,,450,3.13,3.08,3.02,2.60,2.94,2.52,2.45,2.37,1.81,1.00,1.21,2.05,1.90,1.73,1.56,1.38,1.19,1.10,1.04,0.99
22,Malawi,,454,2.25,2.24,2.23,4.19,4.69,3.36,2.32,2.58,2.75,1.93,0.60,0.64,0.92,1.23,1.53,1.79,2.00,2.00,1.94,1.87
23,Mauritius,1,480,1.06,1.41,2.18,2.55,0.66,-0.51,-0.01,0.73,-0.28,-0.29,-0.50,-0.51,-0.45,-0.20,0.06,0.32,0.58,0.78,0.79,0.76
24,Mayotte,,175,6.65,6.36,5.99,2.64,1.82,1.76,1.85,1.77,2.79,2.82,1.02,-0.52,-0.82,-0.58,-0.27,0.05,0.37,0.65,0.70,0.68
25,Mozambique,,508,3.18,3.16,3.81,3.80,6.30,6.34,6.67,6.21,1.90,1.13,0.61,0.63,0.80,0.98,1.13,1.26,1.34,1.30,1.24,1.18
26,Réunion,,638,3.46,3.24,3.00,1.76,1.30,3.69,4.78,3.58,1.17,0.85,0.55,0.34,0.21,0.13,0.06,0.04,0.04,0.04,0.04,0.03
27,Rwanda,,646,2.07,2.06,2.06,2.06,4.49,3.32,1.38,1.37,11.94,8.34,5.12,4.34,3.69,3.03,2.42,1.86,1.35,1.18,1.12,1.06
28,Seychelles,,690,0.04,0.16,3.60,3.30,3.38,1.30,-0.03,-0.01,0.11,0.24,0.37,0.49,0.59,0.60,0.58,0.55,0.53,0.51,0.49,0.47
29,Somalia,,706,3.12,3.04,2.85,2.55,2.34,0.97,0.95,1.10,1.16,1.13,1.12,1.16,1.19,1.21,1.20,1.15,1.10,1.04,0.98,0.93
30,South Sudan,,728,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,2.89,5.98,3.57,0.78,0.77,0.80,1.04,1.29,1.53,1.73,1.88,1.86,1.80,1.72
31,Uganda,,800,4.50,4.47,4.42,3.81,1.10,1.36,3.89,3.82,1.03,0.71,1.51,2.13,2.11,2.11,2.09,2.06,2.00,1.91,1.84,1.77
32,United Republic of Tanzania,2,834,4.67,3.48,2.79,5.28,7.01,5.34,2.83,2.38,1.68,1.65,2.15,2.47,2.34,2.12,1.88,1.64,1.41,1.18,1.08,1.02
33,Zambia,,894,4.65,4.47,5.06,5.23,2.81,2.62,-0.08,-0.13,-1.20,-1.28,1.01,1.12,1.10,1.11,1.10,1.08,1.03,0.97,0.92,0.87
34,Zimbabwe,,716,1.70,1.68,2.96,3.44,2.70,2.37,2.55,2.63,1.81,1.24,0.21,-0.54,-0.50,-0.14,0.28,0.69,1.07,1.38,1.40,1.33
35,Middle Africa,,911,2.36,2.37,2.13,2.25,2.55,1.89,1.60,1.56,1.36,1.30,1.20,1.20,1.17,1.11,1.05,0.97,0.90,0.85,0.81,0.77
36,Angola,,24,3.23,3.18,3.62,3.58,2.86,2.72,2.63,2.53,2.43,2.31,2.19,2.06,1.88,1.63,1.40,1.18,0.97,0.80,0.75,0.70
37,Cameroon,,120,4.06,3.96,3.83,3.69,5.92,3.13,2.53,1.81,1.42,1.35,1.28,1.19,1.08,0.98,0.87,0.76,0.66,0.62,0.59,0.55
38,Central African Republic,,140,3.38,3.27,3.14,3.12,3.02,1.16,0.96,0.71,0.22,0.22,0.23,0.40,0.61,0.81,0.98,1.11,1.12,1.06,1.00,0.95
39,Chad,,148,4.00,3.95,4.55,6.39,5.94,3.76,1.03,1.02,0.63,0.15,0.15,0.17,0.44,0.79,1.13,1.43,1.69,1.74,1.67,1.60
